"Historic 4 Bed Apartment in the Heart of Windsor","https://www.booking.com/hotel/gb/characteristic-4-bed-apartment-in-windsor.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4Aq2bp7AGwAIB0gIkMjRhOTNhYzItYjJhMi00OTc0LWE4YTUtOTk1MzE3YzhiMGNk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=48119327bc22030d&srepoch=1711918547&all_sr_blocks=843916901_351260477_4_0_0&highlighted_blocks=843916901_351260477_4_0_0&matching_block_id=843916901_351260477_4_0_0&sr_pri_blocks=843916901_351260477_4_0_0__163080&from=searchresults#hotelTmpl","2788","8.8","Excellent"
"Charming cottage in WINDSOR - WALK TO CASTLE &SHOPS!","https://www.booking.com/hotel/gb/charming-cottage-in-windsor-walk-to-castle-amp-shops.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4Aq2bp7AGwAIB0gIkMjRhOTNhYzItYjJhMi00OTc0LWE4YTUtOTk1MzE3YzhiMGNk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=48119327bc22030d&srepoch=1711918547&all_sr_blocks=652065501_309749398_4_0_0&highlighted_blocks=652065501_309749398_4_0_0&matching_block_id=652065501_309749398_4_0_0&sr_pri_blocks=652065501_309749398_4_0_0__96500&from=searchresults#hotelTmpl","1650","7.7","Good"
"Windsor & Maidenhead 2 bed near Legoland, ascot racecourse and Lapland","https://www.booking.com/hotel/gb/stylish-2-bed-in-windsor-amp-maidenhead.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4Aq2bp7AGwAIB0gIkMjRhOTNhYzItYjJhMi00OTc0LWE4YTUtOTk1MzE3YzhiMGNk2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=48119327bc22030d&srepoch=1711918547&all_sr_blocks=1062215901_378552190_4_0_0&highlighted_blocks=1062215901_378552190_4_0_0&matching_block_id=1062215901_378552190_4_0_0&sr_pri_blocks=1062215901_378552190_4_0_0__70000&from=searchresults#hotelTmpl","1197","8.5","Very Good"
"Smart Living by Lawsons","https://www.booking.com/hotel/gb/smart-1st-floor-apartment-in-windsor-town-centre.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4At7BqLAGwAIB0gIkNzAxNWQzZWYtZjY4ZS00YTMxLTg0MjItOTc1N2Y2NmRkNTNi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=dc2413ffced0001e&srepoch=1711939839&all_sr_blocks=969671501_369374472_4_0_0&highlighted_blocks=969671501_369374472_4_0_0&matching_block_id=969671501_369374472_4_0_0&sr_pri_blocks=969671501_369374472_4_0_0__82390&from=searchresults#hotelTmpl","1408","9.1","Wonderful"
"Fairmont Windsor Park","https://www.booking.com/hotel/gb/fairmont-windsor-park.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4At7BqLAGwAIB0gIkNzAxNWQzZWYtZjY4ZS00YTMxLTg0MjItOTc1N2Y2NmRkNTNi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=dc2413ffced0001e&srepoch=1711939839&all_sr_blocks=687802105_279478038_2_2_0%2C687802105_279478038_2_2_0&highlighted_blocks=687802105_279478038_2_2_0%2C687802105_279478038_2_2_0&matching_block_id=687802105_279478038_2_2_0&sr_pri_blocks=687802105_279478038_2_2_0__158000%2C687802105_279478038_2_2_0__158000&nad_id=58795794-cacc-497f-be7b-67b82c5889db_0&nad_cpc=1.02&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IjBKMjVNWStKV2kvRnNHNkkzOTVESFI2M2JPelRHbmloTm93aUQ0MXE0VjJPTUtIUmprOFAwUC9jSVBxMVQrS25COEVDd3B6dU5uMFlqNEx3MlJ3ckJFWVRoMUhCTnY1UUNwQXM0U0VWcDdOQkxFUmpYajQ3cDJsUDdhREpJOHJHYXFwM2JEMk5sanJCd21JdWpGUy8rMkhPcGJ1OXBBZ3hzdG81Q1VqU0VQWjRDYTdKeUtuT0EzTHdXOXlPWE9DdHVNT2d1dytiUHFiQWlTZHg0dUNsUWVZWk9uQlN0YjVrK0NEZElUemRaL1dYeGhnOFcxamZRLzNUVkFQRnpvRE5aa3dFOWtOU0pLd000WUZjSS8xczlEb21pSU4yVXBNTlpLUzkzR3MwUUcyMXZhemNvOE0wa1JyWW9QTkZOdWt1cXQ1aThjbjBlTkljRDlmbTlmSlNlMlZVS09wL3ZJMGpSUW5waXNVS2RSeTBJQnp2Z2xDSVJieWtBcmt4QzN0cnF0MTFud0xaQ2dRbWE3Y0ZsUmdpejRJVmlSV1hkcEVFRTFIajV2SXZWTVdDNFJlUXpWcFM3bnhyNzNRWlMvcmdHNGFycjhSaXUzVGJvVGZRdHE2WkxYc2RCTEtjSmJ5MDB5alpYenMwSDRiU0hlanFkZkR0ekJHUUtSb1FSbEJJMWNjVXQ4UVJXRlRBUEZhcG9QRVZnaEpVUmlGNjR1S1NXbUMxMVB1cFdDNU8vQzVWT3AvVG5XYTVSSTZJRU05VTVCSWFhaEVwcmdGNitzV1hxKzdzSDl2cEZWUUdhSSt4TzdUS0ZjcThmVVhWUVRYbUNmakVoa0hvT0l0U2JZNlpHaW1nUmpVR1ZHZTMvcVh2cjgxS1FhMlAxZHNxeDdyNzY5UmhURFErZk9Ra1FKcjJjcTNud2Zaekw5aHQvQzhHRDFDM3hUdC9nSUljdjBkc0ZYb2hCSzlrOU5ZYTN2VFdVaTh1NlNCcEhyOUVMSEZMb25iblFRdjQrTGhaLzR6UVVBN2I5dWx3ZjZUM243UGdzalI1bTZiN0VwRVFIVUtrTTBpQ2FzOU9JMCs2aVBEblphN2hWZ3h4K3JVTmNMT01GWll4NkZsdTV2Rkpxc2ZSRFBxQnl3QVg4K25uTGMycGRZVlYvN21RUDA5ZHFFZnUySDNkUGpURkdZWGpPK2RYQnlHemc2b1l3d1ZFZ3NiZVh3NkZLZVBRVHl4ZVFuMUY1Q05KTUtodkNpcU96Nk9yaHljd1ZtZ21McWE1bDNTbHFidmk5VEhpR3I3eFpBRHZJTkhyUGFrMFJ5MXRGcFVhdm9kSXRFSzUyL2lOSGlyQ05IaU9pV2xUMzYrQzlPbStVcXdvR2dEVXJvR0Y1eFJqaTJ1ck5PTW1mQmpzQnZzeVhzZDVQRjJiMmgrZVZPOCtlUzhzdUkxZVhJVU8wNVd2bFozN21zODhpVEg3cVFiellGUEpQalcwOHFMek1yRCtDeGlPN1JvdGxyOVFIekZQUTU1ZktqZjQ4TEZWeVJjMWRJNTZkRjRIL1hmcitKbzBBc1QzVWVJUG0rTTYxMmNYYlRRL2g3cGh1M0E1K3daaGlNR2lBSlpuOURXM0sxbENVWlZkZ3lXaW1PWHROSlFmTjg4Y056TnZLMjNqT3RscU1JQkFoK1VzalNremo4WkZDdU54OXBWVEZNUFhySjVtbjlqRFl4dzljQ2tkbHNodWZ2TTRodHR6MmF3VEgvbzNJaDk3S2ZoMjM5Yi9UcWRwRHNIb0Y2blQ5bkw1MEJybjJVNjZVMk9jYzJuWU5CdU0vWGl6MU03MWZVWEZpM2tpcEdTRWptV1Z0NThjQ1hSaHZidVk0UkNxQ0g4Q2ExeUZkcDZ3ZThPcFJ4ZG0rWUVtWi9RSXJYaUZCcUFqdE81bFRXK3hjRlZsZWpsSnZKWURzckhnMmExU2EvTFdUWG0yQ0J5d2YzV0pwdUFlRnBPYkVxYVpXYndnRVhkZlhxTHhWcENiV3JJcmJjTXpiamZqclhJK1FrM3hSV2ppL2xtZWdEQnlmSnNtSWJWOTFqWjdWVGFPb3ZyV3NTV01RckJlYWRIS25YWUlUeGMzS0ZOT1RlOEpRM09tb3lXMk1QQmx3TTRyUitRcmRjS0g4bjhib29FdWZ2VlZCbWJ0L0dQOGVpSFB2Mnkzc3V1dW1CL1ppMm95dHZnT01VKzduY1RYWTArYno0T2FxUGM2VytSTldsaFR0VDJhdzJPdDRXaWk1clRWTzRtSFBLWHNTUHhDZUJ2b2w4TllISHI4aUhpS2xZT1JQdTRzbFJzRUp1SUwwRVV4NlI5VXlRT1p1TlNJUitFRHcxemd2aGh6UjBTWHpsWlRLV2FYMnNtZ2pOajhYYzlhRkJQWkUremQxRnNPTVBxOGpPa2txOVBrM1hHd3R6UkNObFprZm1xb0UwTitqeTNKNnkyYzVZR1dTbGI0RnUyc3FnQzhsTFRKNmxnSkJwQk9jbWMwb3lxdmFBNEVlczNvNkpSdzl2TFNUZjJyT3lGay90TFFvT2RlYjNpYXhqVHJuWUFIdlhURVh6Y0VmTERsUkVpKzIzNEhZVk9QR0J5ckJ1b1hjSTZJb0lQdXNwS1ZiYW1GUW9ScE1OYTVwbmdhYzNodUNlcDJvbWd2Ykx3L2d6SEtZelZ4V2JuU3FXZUNROW1ZOEphTTFqdGd0MTVlamg1anFiUjBpOUFkNy9KZWJ4MzcvQ2prMlFsS2p4WWRkenpRMTNJVUlielpLQjRKTnRmZWNYcVFGY0c4V2RTSlYzblN4ZHd6RlVPS1pRWTNHd2p4YjZNNFAwamhwNjk0QzJteDQyMERkV2wvWk5TQ2pmZGtpd3BGWDFQcm9tQ1ZzRk5KSkcwcXJHbTN4VVhGOW9YbTRuT0tIbjdsc3Q2UzU5TVRFb05Bbm5oRzhzR215eEpoMG5yWFNjNjJTbXB5c2wxY3pSWEhWSFFNZ0U2dDVBbnNCeFBaMWNCQUlJYXlvZExNYmpqV1ZzMHZnVEFHcGxEV3dnMC9aY2VRMVJ2RVdXSXlSZkIyMTZWa2JmdUtBL3p1T3F4T0hVS0tyNCszelhQZkNCMVUwN1dzeG9WdDdHejdPZWVNOS9jdFJ5RnpscmtKSm5kNmJIZ2NraWlKY2M4Ty9aZUx4OGhxSFBLQzJ6QXdBV1hCbEdOUEhWY2g2MVMwNzZXQ25VbGMvejl4c2N1UXEwbXJnUWs0QWxwVWRISW5PakNmajdQTngwWDhIRm9wQTlyazArYXh5UTZWUDRmRjJDVWViUGVFS1YrUk1iVTdCcCttbDFHVGp5ejRVMW10bTlBOHZvV2ZBMkNXVWF1Y3NIc3JIVnRmSnBIbWpvejVXOGxDQUg4VDlqajEifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl","5402","8.9","Excellent"
"Castle Properties: The Sovereign 5 Bed Town House","https://www.booking.com/hotel/gb/castle-properties.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4At7BqLAGwAIB0gIkNzAxNWQzZWYtZjY4ZS00YTMxLTg0MjItOTc1N2Y2NmRkNTNi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=dc2413ffced0001e&srepoch=1711939839&all_sr_blocks=262006201_388854340_0_0_0&highlighted_blocks=262006201_388854340_0_0_0&matching_block_id=262006201_388854340_0_0_0&sr_pri_blocks=262006201_388854340_0_0_0__305600&from=searchresults#hotelTmpl","5224","8.8","Excellent"
"Castle Properties: The Duchess, 3 Bed Family cottage","https://www.booking.com/hotel/gb/western-cottage.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4At7BqLAGwAIB0gIkNzAxNWQzZWYtZjY4ZS00YTMxLTg0MjItOTc1N2Y2NmRkNTNi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=dc2413ffced0001e&srepoch=1711939839&all_sr_blocks=303662401_388854325_6_0_0&highlighted_blocks=303662401_388854325_6_0_0&matching_block_id=303662401_388854325_6_0_0&sr_pri_blocks=303662401_388854325_6_0_0__206200&from=searchresults#hotelTmpl","3525","8.2","Very Good"
"Castle Properties:Eton-The College","https://www.booking.com/hotel/gb/luxury-eton-apartment-2-bed.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4At7BqLAGwAIB0gIkNzAxNWQzZWYtZjY4ZS00YTMxLTg0MjItOTc1N2Y2NmRkNTNi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=dc2413ffced0001e&srepoch=1711939839&all_sr_blocks=303752101_373986474_6_0_0&highlighted_blocks=303752101_373986474_6_0_0&matching_block_id=303752101_373986474_6_0_0&sr_pri_blocks=303752101_373986474_6_0_0__159600&from=searchresults#hotelTmpl","2728","9.2","Wonderful"
"La Casa Suites Windsor - Two 2-bedroom apartments","https://www.booking.com/hotel/gb/la-casa-suites-windsor.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4At7BqLAGwAIB0gIkNzAxNWQzZWYtZjY4ZS00YTMxLTg0MjItOTc1N2Y2NmRkNTNi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=dc2413ffced0001e&srepoch=1711939839&all_sr_blocks=856046303_386135385_4_0_0&highlighted_blocks=856046303_386135385_4_0_0&matching_block_id=856046303_386135385_4_0_0&sr_pri_blocks=856046303_386135385_4_0_0__72800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl","1245","8.8","Excellent"
"ENTR - Modern Apartments in Windsor with Parking","https://www.booking.com/hotel/gb/uber-modern-apartment-in-windsor-with-parking.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4At7BqLAGwAIB0gIkNzAxNWQzZWYtZjY4ZS00YTMxLTg0MjItOTc1N2Y2NmRkNTNi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=dc2413ffced0001e&srepoch=1711939839&all_sr_blocks=834601604_388015849_4_0_0&highlighted_blocks=834601604_388015849_4_0_0&matching_block_id=834601604_388015849_4_0_0&sr_pri_blocks=834601604_388015849_4_0_0__84600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl","1446","8.7","Excellent"
"De Vere Beaumont Estate","https://www.booking.com/hotel/gb/beaumont-house.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4At7BqLAGwAIB0gIkNzAxNWQzZWYtZjY4ZS00YTMxLTg0MjItOTc1N2Y2NmRkNTNi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=dc2413ffced0001e&srepoch=1711939839&all_sr_blocks=3423659_202581814_0_1_0%2C3423659_202581814_0_1_0&highlighted_blocks=3423659_202581814_0_1_0%2C3423659_202581814_0_1_0&matching_block_id=3423659_202581814_0_1_0&sr_pri_blocks=3423659_202581814_0_1_0__82000%2C3423659_202581814_0_1_0__82000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl","2804","7.6","Good"
"Beautiful 4-bed Luxury Windsor Home by Casa by Grace, Amazing location, Perfect for large groups, Pet Friendly, sleeps 7-9!","https://www.booking.com/hotel/gb/the-windsor-tapestries.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4At7BqLAGwAIB0gIkNzAxNWQzZWYtZjY4ZS00YTMxLTg0MjItOTc1N2Y2NmRkNTNi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=dc2413ffced0001e&srepoch=1711939839&all_sr_blocks=949589501_379995148_9_0_0&highlighted_blocks=949589501_379995148_9_0_0&matching_block_id=949589501_379995148_9_0_0&sr_pri_blocks=949589501_379995148_9_0_0__322000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl","5505","9.9","Exceptional"
"Macdonald Windsor","https://www.booking.com/hotel/gb/macdonald-windsor.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4At7BqLAGwAIB0gIkNzAxNWQzZWYtZjY4ZS00YTMxLTg0MjItOTc1N2Y2NmRkNTNi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=dc2413ffced0001e&srepoch=1711939839&all_sr_blocks=29123409_356862457_2_42_0%2C29123409_356862457_2_42_0&highlighted_blocks=29123409_356862457_2_42_0%2C29123409_356862457_2_42_0&matching_block_id=29123409_356862457_2_42_0&sr_pri_blocks=29123409_356862457_2_42_0__175300%2C29123409_356862457_2_42_0__175300&from=searchresults#hotelTmpl","5993","8.4","Very Good"
"Holiday Inn Express Windsor, an IHG Hotel","https://www.booking.com/hotel/gb/holiday-inn-express-windsor.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4At7BqLAGwAIB0gIkNzAxNWQzZWYtZjY4ZS00YTMxLTg0MjItOTc1N2Y2NmRkNTNi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=dc2413ffced0001e&srepoch=1711939839&all_sr_blocks=46181602_246096969_2_1_0%2C46181602_246096969_2_1_0&highlighted_blocks=46181602_246096969_2_1_0%2C46181602_246096969_2_1_0&matching_block_id=46181602_246096969_2_1_0&sr_pri_blocks=46181602_246096969_2_1_0__130600%2C46181602_246096969_2_1_0__130600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl","4465","8.1","Very Good"
"Central Windsor Modern Garden Flat, Walk 2 Sights","https://www.booking.com/hotel/gb/central-windsor-modern-garden-flat-walk-2-sights.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4At7BqLAGwAIB0gIkNzAxNWQzZWYtZjY4ZS00YTMxLTg0MjItOTc1N2Y2NmRkNTNi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=dc2413ffced0001e&srepoch=1711939839&all_sr_blocks=985645501_370971033_4_0_0&highlighted_blocks=985645501_370971033_4_0_0&matching_block_id=985645501_370971033_4_0_0&sr_pri_blocks=985645501_370971033_4_0_0__107010&from=searchresults#hotelTmpl","1829","9.2","Wonderful"
"Bluebell House","https://www.booking.com/hotel/gb/bluebell-house.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4At7BqLAGwAIB0gIkNzAxNWQzZWYtZjY4ZS00YTMxLTg0MjItOTc1N2Y2NmRkNTNi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=dc2413ffced0001e&srepoch=1711939839&all_sr_blocks=32934304_174114084_0_0_0%2C32934305_174114084_0_0_0&highlighted_blocks=32934304_174114084_0_0_0%2C32934305_174114084_0_0_0&matching_block_id=32934304_174114084_0_0_0&sr_pri_blocks=32934304_174114084_0_0_0__41400%2C32934305_174114084_0_0_0__43800&from=searchresults#hotelTmpl","1456","8.3","Very Good"
"Park Cottage Willows Riverside Park","https://www.booking.com/hotel/gb/park-cottage-windsor-and-maidenhead.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4At7BqLAGwAIB0gIkNzAxNWQzZWYtZjY4ZS00YTMxLTg0MjItOTc1N2Y2NmRkNTNi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=dc2413ffced0001e&srepoch=1711939839&all_sr_blocks=735438801_329361362_4_0_0&highlighted_blocks=735438801_329361362_4_0_0&matching_block_id=735438801_329361362_4_0_0&sr_pri_blocks=735438801_329361362_4_0_0__130200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl","2226","9.0","Wonderful"
"Pass the Keys Stunning 7 Sleeper Penthouse on Windsor Riverside","https://www.booking.com/hotel/gb/pass-the-keys-5mh-stunning-7-sleeper-penthouse-on-windsor-riverside.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4At7BqLAGwAIB0gIkNzAxNWQzZWYtZjY4ZS00YTMxLTg0MjItOTc1N2Y2NmRkNTNi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=dc2413ffced0001e&srepoch=1711939839&all_sr_blocks=928756402_364835689_6_0_0&highlighted_blocks=928756402_364835689_6_0_0&matching_block_id=928756402_364835689_6_0_0&sr_pri_blocks=928756402_364835689_6_0_0__169700&from=searchresults#hotelTmpl","2901","9.9","Exceptional"
"Historic 4 Bed Apartment in the Heart of Windsor","https://www.booking.com/hotel/gb/characteristic-4-bed-apartment-in-windsor.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4At7BqLAGwAIB0gIkNzAxNWQzZWYtZjY4ZS00YTMxLTg0MjItOTc1N2Y2NmRkNTNi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=dc2413ffced0001e&srepoch=1711939839&all_sr_blocks=843916901_351260477_4_0_0&highlighted_blocks=843916901_351260477_4_0_0&matching_block_id=843916901_351260477_4_0_0&sr_pri_blocks=843916901_351260477_4_0_0__163080&from=searchresults#hotelTmpl","2788","8.8","Excellent"
"Victorian Cottage, Close 2 All The Sights, Parking","https://www.booking.com/hotel/gb/victorian-cottage-close-2-all-the-sights-parking.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4At7BqLAGwAIB0gIkNzAxNWQzZWYtZjY4ZS00YTMxLTg0MjItOTc1N2Y2NmRkNTNi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=dc2413ffced0001e&srepoch=1711939839&all_sr_blocks=989428401_371360555_4_0_0&highlighted_blocks=989428401_371360555_4_0_0&matching_block_id=989428401_371360555_4_0_0&sr_pri_blocks=989428401_371360555_4_0_0__92400&from=searchresults#hotelTmpl","1580","8.1","Very Good"
"LUXURY LODGE RIVER THAMES - WINDSOR MARINA - PARKING","https://www.booking.com/hotel/gb/luxury-lodge-river-thames-windsor-marina-parking.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4At7BqLAGwAIB0gIkNzAxNWQzZWYtZjY4ZS00YTMxLTg0MjItOTc1N2Y2NmRkNTNi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=dc2413ffced0001e&srepoch=1711939839&all_sr_blocks=749136001_331178634_6_0_0&highlighted_blocks=749136001_331178634_6_0_0&matching_block_id=749136001_331178634_6_0_0&sr_pri_blocks=749136001_331178634_6_0_0__139500&from=searchresults#hotelTmpl","2385","9.4","Wonderful"
"Cosy Windsor Cottage - Free Parking","https://www.booking.com/hotel/gb/cosy-windsor-cottage-free-parking.html?label=gen173nr-1FCAEoggI46AdIM1gEaCeIAQGYATG4AQfIAQzYAQHoAQH4AQKIAgGoAgO4At7BqLAGwAIB0gIkNzAxNWQzZWYtZjY4ZS00YTMxLTg0MjItOTc1N2Y2NmRkNTNi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-01&checkout=2024-05-05&dest_id=-2611829&dest_type=city&group_adults=4&req_adults=4&no_rooms=2&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=dc2413ffced0001e&srepoch=1711939839&all_sr_blocks=1096440001_382537730_5_0_0&highlighted_blocks=1096440001_382537730_5_0_0&matching_block_id=1096440001_382537730_5_0_0&sr_pri_blocks=1096440001_382537730_5_0_0__84240&from_sustainable_property_sr=1&from=searchresults#hotelTmpl","1440","9.4","Wonderful"
